station,latitude,longitude,elevation
JMS,46.93,-98.68,457.0
JST,40.3161,-78.8339,696.0
JXN,42.2598,-84.4594,305.0
JYM,41.9213,-84.5858,360.0
KLS,46.12,-122.9,5.0
L35,34.2638,-116.856,2058.0
L52,35.1015,-120.6224,5.0
LAL,27.9889,-82.0186,43.0
LAN,42.78,-84.58,264.0
LAS,36.0801,-115.1522,664.0
LAX,33.9382,-118.3865,32.0
LBB,33.6636,-101.8228,988.0
LBF,41.1219,-100.669,843.91
LBL,37.0442,-100.9599,879.0
LCI,43.5735,-71.4215,161.99
LEB,43.6261,-72.3042,182.0
LEW,44.0485,-70.2835,88.0
LEX,38.0408,-84.6058,301.0
LFI,37.0828,-76.3605,3.0
LFK,31.234,-94.75,88.0
LFT,30.1986,-91.9896,14.59
LGA,40.7794,-73.8803,9.0
LGB,33.8118,-118.1472,12.0
LIT,34.7273,-92.2357,79.0
LKR,34.723,-80.8544,148.1
LKU,38.01,-77.97,150.0
LND,42.8152,-108.7298,1694.0
LNK,40.8478,-96.7647,352.34
LNP,36.9875,-82.53,817.0
LNS,40.1203,-76.2944,123.0
LOM,40.1376,-75.2651,92.0
LOU,38.228,-85.6637,167.0
LOZ,37.087,-84.077,369.0
LPR,41.3461,-82.1794,241.0
LRF,34.9168,-92.1465,95.0
LSE,43.88,-91.25,199.0
LUA,38.6671,-78.5006,275.0
LUD,33.2542,-97.5805,319.0
LUF,33.535,-112.383,332.0
LUK,39.1033,-84.4186,155.0
LUV,32.7563,-101.9202,911.58
LVJ,29.52,-95.24,13.0
LVM,45.7,-110.45,1419.0
LWA,42.3508,-86.2561,203.0
LWB,37.8583,-80.3995,702.0
LWM,42.7172,-71.1234,45.0
LWS,46.3745,-117.0154,438.0
LXV,39.2281,-106.3161,3026.0
LXY,31.6412,-96.5145,166.29
LYH,37.3208,-79.2067,286.0
M19,35.6377,-91.1764,72.8
M40,33.8738,-88.4897,67.65
MAE,36.9849,-120.1107,76.45
